Date,Ingredients,Quantity Sold,Expiry Date,Promotion
2024-01-23,"Cheese, Cinnamon",255,2024-02-22,Free Shipping
2024-01-24,"Sugar, Berries, Cardamom, Cream",377,2024-03-24,Loyalty Discount
2024-01-25,Pasta Sauce,88,2024-02-24,Free Shipping
2024-01-26,"Tea, Beans, Milk",404,2024-02-25,10% Off
2024-01-27,"Green Tea, Vanilla, Mint, Sugar",331,2024-03-27,5% Off
2024-01-28,Spices,471,2024-03-28,Flash Sale
2024-01-29,"Milk, Nuts, Eggs, Herbal Leaves",442,2024-03-29,New Year Sale
2024-01-30,Tomato Sauce,235,2024-02-29,Free Shipping
2024-01-31,"Butter, Eggs",345,2024-02-14,10% Off
2024-02-01,"Ice Cream, Mint, Butter, Cardamom",154,2024-03-02,Free Shipping
2024-02-02,"Pineapple, Cardamom",292,2024-03-03,50% Off Clearance
2024-02-03,"Fruits, Green Tea, Cream",339,2024-03-04,Seasonal Offer
2024-02-04,"Cream, Ice Cream",186,2024-03-05,Flash Sale
2024-02-05,"Vegetables, Eggs, Lemon, Tomato Sauce",258,2024-03-06,5% Off
2024-02-06,"Pineapple, Mint, Berries",271,2024-02-13,5% Off
2024-02-07,Ice Cream,184,2024-03-08,Bundle Deal
2024-02-08,Vanilla,377,2024-04-08,Flash Sale
2024-02-09,Nuts,472,2024-04-09,10% Off
2024-02-10,"Mint, Tortilla",148,2024-02-25,Free Shipping
2024-02-11,"Cinnamon, Eggs, Pineapple",259,2024-03-12,Loyalty Discount
2024-02-12,"Pineapple, Sugar, Ice Cream, Vanilla",410,2024-04-12,Loyalty Discount
2024-02-13,"Ice Cream, Cardamom, Orange, Pasta Sauce",378,2024-03-14,Bundle Deal
2024-02-14,"Butter, Orange, Berries, Cream",236,2024-02-28,New Year Sale
2024-02-15,"Cream, Mint, Tea",130,2024-03-16,Buy 1 Get 1
2024-02-16,"Cardamom, Fruits, Pasta Sauce, Eggs",111,2024-03-17,5% Off
2024-02-17,Beans,349,2024-03-18,50% Off Clearance
2024-02-18,"Vegetables, Tomato Sauce, Milk",293,2024-03-19,50% Off Clearance
2024-02-19,"Eggs, Spices",341,2024-04-19,Seasonal Offer
2024-02-20,"Cream, Cinnamon, Spices",444,2024-04-20,Seasonal Offer
2024-02-21,Eggs,260,2024-03-06,Flash Sale
2024-02-22,"Chocolate, Cream, Cinnamon",60,2024-04-22,Loyalty Discount
2024-02-23,"Cardamom, Tomato Sauce",373,2024-03-24,Flash Sale
2024-02-24,"Mint, Spices",430,2024-04-24,50% Off Clearance
2024-02-25,"Tea, Mint",211,2024-03-26,Loyalty Discount
2024-02-26,"Butter, Tortilla, Flour",384,2024-04-26,10% Off
2024-02-27,"Ice Cream, Cream, Nuts, Tea",194,2024-04-27,5% Off
2024-02-28,"Nuts, Lemon, Mint, Cheese",169,2024-04-28,Flash Sale
2024-02-29,"Mint, Ice Cream",282,2024-03-30,5% Off
2024-03-01,Beans,371,2024-03-31,Loyalty Discount
2024-03-02,Vanilla,401,2024-05-01,Loyalty Discount
2024-03-03,Ice Cream,419,2024-04-02,Seasonal Offer
2024-03-04,"Milk, Brownie, Green Tea",117,2024-04-03,Free Shipping
2024-03-05,"Cheese, Eggs",422,2024-03-19,New Year Sale
2024-03-06,"Coffee Beans, Ice Cream, Tomato Sauce",225,2024-04-05,Buy 1 Get 1
2024-03-07,"Fruits, Vegetables",60,2024-03-14,5% Off
2024-03-08,Butter,211,2024-03-22,5% Off
2024-03-09,"Lemon, Fruits, Tomato Sauce, Ice Cream",358,2024-04-08,50% Off Clearance
2024-03-10,"Nuts, Green Tea",444,2024-05-09,50% Off Clearance
2024-03-11,"Orange, Cream",445,2024-03-18,Buy 1 Get 1
2024-03-12,Ice Cream,476,2024-04-11,10% Off
2024-03-13,Flour,476,2024-05-12,Flash Sale
2024-03-14,Green Tea,356,2024-04-13,Bundle Deal
2024-03-15,Milk,254,2024-03-22,5% Off
2024-03-16,"Spices, Lemon, Vanilla",299,2024-05-15,New Year Sale
2024-03-17,Pineapple,90,2024-03-24,10% Off
2024-03-18,"Berries, Nuts, Tortilla",342,2024-05-17,Free Shipping
2024-03-19,"Fruits, Chocolate, Tortilla",406,2024-05-18,Free Shipping
2024-03-20,"Ice Cream, Fruits, Pineapple",272,2024-04-19,Buy 1 Get 1
2024-03-21,"Tomato Sauce, Nuts, Butter, Fruits",174,2024-05-20,New Year Sale
2024-03-22,"Chocolate, Nuts",157,2024-05-21,Bundle Deal
2024-03-23,"Herbal Leaves, Orange",453,2024-04-22,50% Off Clearance
2024-03-24,Fruits,177,2024-03-31,10% Off
2024-03-25,"Brownie, Pasta Sauce, Vegetables",454,2024-04-24,Flash Sale
2024-03-26,"Tomato Sauce, Eggs",332,2024-04-25,10% Off
2024-03-27,Almond Milk,374,2024-04-10,New Year Sale
2024-03-28,"Sugar, Vegetables, Nuts, Berries",172,2024-05-27,Buy 1 Get 1
2024-03-29,"Pasta Sauce, Herbal Leaves",448,2024-04-28,Bundle Deal
2024-03-30,"Ice Cream, Sugar, Pasta Sauce, Nuts",437,2024-05-29,Flash Sale
2024-03-31,Vegetables,76,2024-04-07,10% Off
2024-04-01,"Sugar, Almond Milk, Butter, Eggs",453,2024-05-31,Buy 1 Get 1
2024-04-02,"Fruits, Herbal Leaves, Sugar, Butter",175,2024-06-01,New Year Sale
2024-04-03,"Flour, Nuts",170,2024-06-02,Flash Sale
2024-04-04,"Lemon, Cinnamon",59,2024-05-04,Seasonal Offer
2024-04-05,Fruits,443,2024-04-12,5% Off
2024-04-06,"Mint, Almond Milk, Nuts, Eggs",238,2024-06-05,5% Off
2024-04-07,"Pineapple, Almond Milk, Vanilla",266,2024-06-06,50% Off Clearance
2024-04-08,"Tortilla, Milk",381,2024-04-23,Bundle Deal
2024-04-09,"Cheese, Tomato Sauce, Chocolate, Pineapple",346,2024-06-08,New Year Sale
2024-04-10,"Lemon, Flour, Berries",275,2024-06-09,Bundle Deal
2024-04-11,"Herbal Leaves, Almond Milk, Spices, Fruits",169,2024-06-10,New Year Sale
2024-04-12,Orange,308,2024-04-19,Buy 1 Get 1
2024-04-13,Berries,253,2024-04-20,50% Off Clearance
2024-04-14,"Cardamom, Vanilla, Pasta Sauce",80,2024-06-13,Loyalty Discount
2024-04-15,Cream,284,2024-04-22,Seasonal Offer
2024-04-16,"Berries, Orange, Fruits",150,2024-04-23,Bundle Deal
2024-04-17,"Ice Cream, Nuts, Lemon",350,2024-06-16,Buy 1 Get 1
2024-04-18,Ice Cream,424,2024-05-18,Bundle Deal
2024-04-19,"Almond Milk, Sugar, Milk",321,2024-06-18,Free Shipping
2024-04-20,"Sugar, Orange",79,2024-06-19,Flash Sale
2024-04-21,"Green Tea, Chocolate, Mint",491,2024-06-20,Loyalty Discount
2024-04-22,Mint,154,2024-04-29,Free Shipping
2024-04-23,"Mint, Brownie, Sugar",160,2024-06-22,Flash Sale
2024-04-24,Ice Cream,231,2024-05-24,Bundle Deal
2024-04-25,"Ice Cream, Nuts",287,2024-06-24,Loyalty Discount
2024-04-26,"Cardamom, Butter, Nuts",374,2024-06-25,Buy 1 Get 1
2024-04-27,"Fruits, Coffee Beans, Chocolate",384,2024-06-26,50% Off Clearance
2024-04-28,"Nuts, Cheese, Orange, Vegetables",232,2024-06-27,Bundle Deal
2024-04-29,"Tortilla, Chocolate, Butter, Flour",391,2024-06-28,10% Off
2024-04-30,"Almond Milk, Nuts, Pasta Sauce",61,2024-06-29,Flash Sale
2024-05-01,"Cardamom, Cream, Ice Cream, Mint",85,2024-05-31,New Year Sale
2024-05-02,"Ice Cream, Flour, Fruits, Sugar",219,2024-07-01,50% Off Clearance
2024-05-03,"Vegetables, Butter, Almond Milk",403,2024-05-17,Free Shipping
2024-05-04,"Ice Cream, Butter, Flour, Tomato Sauce",454,2024-07-03,10% Off
2024-05-05,"Cinnamon, Cream, Lemon, Coffee Beans",459,2024-06-04,5% Off
2024-05-06,"Milk, Cardamom, Coffee Beans",420,2024-06-05,Flash Sale
2024-05-07,"Cardamom, Butter",54,2024-06-06,Seasonal Offer
2024-05-08,"Beans, Vanilla, Tea, Spices",392,2024-07-07,Buy 1 Get 1
2024-05-09,"Sugar, Mint",277,2024-07-08,50% Off Clearance
2024-05-10,Eggs,147,2024-05-24,Flash Sale
2024-05-11,"Herbal Leaves, Ice Cream, Sugar, Flour",424,2024-07-10,New Year Sale
2024-05-12,"Cardamom, Flour",439,2024-07-11,New Year Sale
2024-05-13,"Herbal Leaves, Butter",137,2024-06-12,10% Off
2024-05-14,"Flour, Green Tea",420,2024-07-13,Bundle Deal
2024-05-15,"Brownie, Herbal Leaves, Milk",238,2024-06-14,50% Off Clearance
2024-05-16,"Brownie, Green Tea, Tortilla, Milk",471,2024-06-15,Loyalty Discount
2024-05-17,"Vanilla, Nuts, Cheese, Tortilla",215,2024-07-16,Seasonal Offer
2024-05-18,"Vegetables, Green Tea",195,2024-06-17,5% Off
2024-05-19,"Tomato Sauce, Nuts, Cheese, Spices",99,2024-07-18,50% Off Clearance
2024-05-20,"Cardamom, Flour",115,2024-07-19,Buy 1 Get 1
2024-05-21,"Lemon, Eggs, Cinnamon",85,2024-06-20,50% Off Clearance
2024-05-22,"Fruits, Milk",113,2024-05-29,Bundle Deal
2024-05-23,"Ice Cream, Herbal Leaves, Flour",124,2024-07-22,Seasonal Offer
2024-05-24,Fruits,366,2024-05-31,Loyalty Discount
2024-05-25,"Fruits, Cream",305,2024-06-01,Flash Sale
2024-05-26,"Beans, Eggs, Cheese",500,2024-06-25,Bundle Deal
2024-05-27,"Spices, Cinnamon, Herbal Leaves",162,2024-07-26,New Year Sale
2024-05-28,"Nuts, Tomato Sauce",222,2024-07-27,Flash Sale
2024-05-29,Tomato Sauce,336,2024-06-28,5% Off
2024-05-30,Pasta Sauce,354,2024-06-29,Buy 1 Get 1
2024-05-31,"Cheese, Lemon, Orange, Nuts",344,2024-07-30,Flash Sale
2024-06-01,Cream,149,2024-06-08,5% Off
2024-06-02,"Butter, Cheese, Berries",357,2024-06-16,10% Off
2024-06-03,Tomato Sauce,277,2024-07-03,New Year Sale
2024-06-04,"Spices, Berries",343,2024-08-03,Seasonal Offer
2024-06-05,"Lemon, Tomato Sauce, Milk",63,2024-07-05,50% Off Clearance
2024-06-06,"Tomato Sauce, Berries, Brownie, Flour",123,2024-08-05,Free Shipping
2024-06-07,Orange,151,2024-06-14,Loyalty Discount
2024-06-08,"Berries, Milk",329,2024-06-15,Loyalty Discount
2024-06-09,"Sugar, Tomato Sauce",69,2024-08-08,Bundle Deal
2024-06-10,Nuts,223,2024-08-09,Bundle Deal
2024-06-11,"Coffee Beans, Cream, Flour, Pasta Sauce",353,2024-08-10,Buy 1 Get 1
2024-06-12,"Berries, Pineapple, Pasta Sauce, Vegetables",357,2024-07-12,50% Off Clearance
2024-06-13,"Vanilla, Cardamom, Berries",343,2024-08-12,10% Off
2024-06-14,"Pasta Sauce, Cinnamon",340,2024-07-14,Loyalty Discount
2024-06-15,Eggs,288,2024-06-29,Flash Sale
2024-06-16,"Almond Milk, Vanilla, Pineapple, Tortilla",148,2024-08-15,Seasonal Offer
2024-06-17,"Tomato Sauce, Cardamom, Green Tea",386,2024-07-17,50% Off Clearance
2024-06-18,Cream,299,2024-06-25,10% Off
2024-06-19,Nuts,122,2024-08-18,Seasonal Offer
2024-06-20,Spices,123,2024-08-19,Flash Sale
2024-06-21,"Eggs, Nuts",194,2024-08-20,Loyalty Discount
2024-06-22,"Green Tea, Butter, Tea",177,2024-07-22,Bundle Deal
2024-06-23,"Cheese, Cardamom, Spices, Berries",57,2024-08-22,Loyalty Discount
2024-06-24,"Cardamom, Orange, Herbal Leaves, Cinnamon",412,2024-07-24,Flash Sale
2024-06-25,"Tortilla, Herbal Leaves, Cheese, Vanilla",114,2024-08-24,50% Off Clearance
2024-06-26,Orange,341,2024-07-03,50% Off Clearance
2024-06-27,"Cheese, Almond Milk, Sugar, Tortilla",423,2024-08-26,Buy 1 Get 1
2024-06-28,Sugar,454,2024-08-27,Free Shipping
2024-06-29,"Berries, Beans, Vanilla, Pasta Sauce",115,2024-08-28,Flash Sale
2024-06-30,"Coffee Beans, Flour, Herbal Leaves, Mint",155,2024-08-29,5% Off
2024-07-01,Tomato Sauce,363,2024-07-31,New Year Sale
2024-07-02,"Cinnamon, Vegetables, Nuts",200,2024-08-31,Flash Sale
2024-07-03,"Beans, Fruits, Cinnamon, Berries",265,2024-08-02,Seasonal Offer
2024-07-04,"Green Tea, Butter, Orange",297,2024-08-03,Bundle Deal
2024-07-05,"Fruits, Butter, Cream",213,2024-07-19,Seasonal Offer
2024-07-06,"Berries, Tortilla, Sugar",195,2024-09-04,Free Shipping
2024-07-07,Butter,455,2024-07-21,Bundle Deal
2024-07-08,"Ice Cream, Tea, Berries, Eggs",406,2024-08-07,Free Shipping
2024-07-09,"Mint, Tea, Lemon",238,2024-08-08,10% Off
2024-07-10,"Brownie, Vegetables",290,2024-07-20,Bundle Deal
2024-07-11,"Pasta Sauce, Sugar, Lemon, Tea",452,2024-09-09,Free Shipping
2024-07-12,"Green Tea, Tomato Sauce",267,2024-08-11,New Year Sale
2024-07-13,"Brownie, Spices, Mint",176,2024-09-11,Flash Sale
2024-07-14,"Cheese, Beans, Ice Cream",454,2024-08-13,Bundle Deal
2024-07-15,Berries,457,2024-07-22,10% Off
2024-07-16,"Coffee Beans, Tomato Sauce, Tea",397,2024-08-15,Buy 1 Get 1
2024-07-17,"Cream, Herbal Leaves",185,2024-08-16,Buy 1 Get 1
2024-07-18,"Berries, Tea",500,2024-08-17,Buy 1 Get 1
2024-07-19,"Cream, Cardamom, Lemon",289,2024-08-18,New Year Sale
2024-07-20,"Butter, Orange, Flour, Coffee Beans",441,2024-09-18,50% Off Clearance
2024-07-21,Mint,392,2024-07-28,Free Shipping
2024-07-22,"Vanilla, Berries, Sugar",282,2024-09-20,10% Off
2024-07-23,"Cheese, Pasta Sauce, Mint",420,2024-08-22,5% Off
2024-07-24,"Green Tea, Herbal Leaves, Eggs",435,2024-08-23,Buy 1 Get 1
2024-07-25,"Spices, Flour, Tea, Ice Cream",332,2024-09-23,50% Off Clearance
2024-07-26,"Brownie, Flour, Vanilla, Cheese",178,2024-09-24,10% Off
2024-07-27,"Sugar, Coffee Beans, Brownie",215,2024-09-25,Buy 1 Get 1
2024-07-28,"Cheese, Green Tea, Mint",179,2024-08-27,50% Off Clearance
2024-07-29,"Brownie, Cinnamon",201,2024-08-28,10% Off
2024-07-30,"Herbal Leaves, Chocolate",322,2024-09-28,Flash Sale
2024-07-31,"Cheese, Sugar, Cardamom, Pineapple",236,2024-09-29,Bundle Deal
2024-08-01,"Cream, Tea, Pasta Sauce, Tomato Sauce",353,2024-08-31,Loyalty Discount
2024-08-02,"Herbal Leaves, Cheese, Brownie",322,2024-09-01,Bundle Deal
2024-08-03,"Orange, Flour",499,2024-10-02,5% Off
2024-08-04,"Pineapple, Coffee Beans, Lemon, Beans",176,2024-09-03,Seasonal Offer
2024-08-05,"Mint, Almond Milk, Vegetables, Brownie",119,2024-08-19,Buy 1 Get 1
2024-08-06,"Mint, Fruits, Cardamom, Orange",366,2024-09-05,Loyalty Discount
2024-08-07,Cheese,459,2024-08-21,Flash Sale
2024-08-08,"Sugar, Orange",314,2024-10-07,Bundle Deal
2024-08-09,"Nuts, Berries",106,2024-10-08,Loyalty Discount
2024-08-10,"Milk, Cream",274,2024-08-17,5% Off
2024-08-11,"Coffee Beans, Pasta Sauce, Beans, Berries",227,2024-09-10,Buy 1 Get 1
2024-08-12,"Tea, Herbal Leaves",227,2024-09-11,10% Off
2024-08-13,Tomato Sauce,141,2024-09-12,5% Off
2024-08-14,"Ice Cream, Milk, Cardamom, Almond Milk",419,2024-09-13,50% Off Clearance
2024-08-15,Coffee Beans,143,2024-09-14,Flash Sale
2024-08-16,Pineapple,112,2024-08-23,Buy 1 Get 1
2024-08-17,Tomato Sauce,58,2024-09-16,Free Shipping
2024-08-18,"Brownie, Herbal Leaves",177,2024-09-17,Free Shipping
2024-08-19,"Vanilla, Butter",428,2024-10-18,Buy 1 Get 1
2024-08-20,"Berries, Cheese, Eggs, Green Tea",454,2024-09-19,Loyalty Discount
2024-08-21,"Lemon, Vanilla, Orange, Mint",94,2024-10-20,Loyalty Discount
2024-08-22,Green Tea,373,2024-09-21,New Year Sale
2024-08-23,"Milk, Herbal Leaves, Butter, Cheese",430,2024-09-22,5% Off
2024-08-24,"Berries, Orange, Butter",435,2024-09-07,Flash Sale
2024-08-25,"Herbal Leaves, Coffee Beans, Beans",451,2024-09-24,Free Shipping
2024-08-26,"Flour, Green Tea",145,2024-10-25,10% Off
2024-08-27,"Sugar, Spices, Flour, Herbal Leaves",190,2024-10-26,50% Off Clearance
2024-08-28,"Sugar, Eggs, Vegetables",351,2024-10-27,Seasonal Offer
2024-08-29,"Tea, Cream, Vanilla",241,2024-10-28,Seasonal Offer
2024-08-30,Brownie,245,2024-09-09,New Year Sale
2024-08-31,Brownie,424,2024-09-10,Loyalty Discount
2024-09-01,"Tea, Sugar, Berries",410,2024-10-31,Bundle Deal
2024-09-02,"Tortilla, Eggs, Beans, Berries",167,2024-10-02,Flash Sale
2024-09-03,"Cardamom, Ice Cream, Cinnamon, Almond Milk",405,2024-10-03,5% Off
2024-09-04,"Mint, Vegetables",56,2024-09-11,Flash Sale
2024-09-05,Sugar,57,2024-11-04,Bundle Deal
2024-09-06,"Herbal Leaves, Almond Milk",306,2024-10-06,10% Off
2024-09-07,Orange,445,2024-09-14,Free Shipping
2024-09-08,"Cinnamon, Vanilla, Beans, Lemon",98,2024-11-07,5% Off
2024-09-09,Tea,215,2024-10-09,New Year Sale
2024-09-10,"Almond Milk, Tomato Sauce, Brownie",234,2024-10-10,10% Off
2024-09-11,"Butter, Sugar",325,2024-11-10,Flash Sale
2024-09-12,Spices,259,2024-11-11,Free Shipping
2024-09-13,"Vanilla, Pineapple",359,2024-11-12,10% Off
2024-09-14,"Vegetables, Spices, Pineapple, Tea",147,2024-11-13,Free Shipping
2024-09-15,"Coffee Beans, Vegetables",422,2024-10-15,5% Off
2024-09-16,"Herbal Leaves, Coffee Beans, Tortilla, Nuts",455,2024-11-15,Seasonal Offer
2024-09-17,"Berries, Butter, Cream, Eggs",170,2024-10-01,Loyalty Discount
2024-09-18,Cinnamon,476,2024-10-18,Free Shipping
2024-09-19,Green Tea,315,2024-10-19,Bundle Deal
2024-09-20,"Herbal Leaves, Milk, Vegetables",205,2024-10-20,Flash Sale
2024-09-21,"Butter, Cardamom",145,2024-10-21,Free Shipping
2024-09-22,"Spices, Butter, Cream",186,2024-11-21,50% Off Clearance
2024-09-23,Cheese,68,2024-10-07,Loyalty Discount
2024-09-24,"Green Tea, Mint, Cheese",344,2024-10-24,Flash Sale
2024-09-25,"Cardamom, Nuts, Milk",251,2024-11-24,Loyalty Discount
2024-09-26,"Cardamom, Herbal Leaves, Lemon, Brownie",413,2024-10-26,50% Off Clearance
2024-09-27,"Vegetables, Pasta Sauce",338,2024-10-27,New Year Sale
2024-09-28,"Vegetables, Milk",467,2024-10-05,50% Off Clearance
2024-09-29,"Ice Cream, Vegetables, Pineapple",187,2024-10-29,10% Off
2024-09-30,Mint,68,2024-10-07,Buy 1 Get 1
2024-10-01,Almond Milk,156,2024-10-15,Flash Sale
2024-10-02,"Mint, Chocolate, Cream",100,2024-12-01,Buy 1 Get 1
2024-10-03,Cinnamon,143,2024-11-02,Loyalty Discount
2024-10-04,"Chocolate, Tea, Eggs, Cream",191,2024-12-03,Bundle Deal
2024-10-05,Fruits,299,2024-10-12,10% Off
2024-10-06,"Vanilla, Lemon",408,2024-12-05,Seasonal Offer
2024-10-07,"Fruits, Vegetables, Cream, Tortilla",51,2024-10-22,Free Shipping
2024-10-08,"Tea, Brownie, Cheese",92,2024-11-07,Flash Sale
2024-10-09,"Cinnamon, Nuts",62,2024-12-08,New Year Sale
2024-10-10,"Sugar, Cardamom, Tortilla, Herbal Leaves",226,2024-12-09,Bundle Deal
2024-10-11,"Beans, Green Tea, Fruits",407,2024-11-10,5% Off
2024-10-12,"Tea, Butter, Pasta Sauce",125,2024-11-11,Seasonal Offer
2024-10-13,"Butter, Fruits",257,2024-10-27,10% Off
2024-10-14,"Pasta Sauce, Ice Cream, Mint",173,2024-11-13,Free Shipping
2024-10-15,Milk,436,2024-10-22,10% Off
2024-10-16,Eggs,453,2024-10-30,50% Off Clearance
2024-10-17,"Pasta Sauce, Almond Milk",380,2024-11-16,10% Off
2024-10-18,Berries,229,2024-10-25,Free Shipping
2024-10-19,"Vanilla, Berries, Cream, Tomato Sauce",148,2024-12-18,New Year Sale
2024-10-20,"Coffee Beans, Chocolate",295,2024-12-19,Free Shipping
2024-10-21,"Milk, Ice Cream, Green Tea",146,2024-11-20,Bundle Deal
2024-10-22,"Flour, Lemon, Vanilla, Almond Milk",321,2024-12-21,New Year Sale
2024-10-23,"Butter, Flour, Cinnamon",401,2024-12-22,Bundle Deal
2024-10-24,"Cinnamon, Chocolate, Vanilla, Orange",295,2024-12-23,10% Off
2024-10-25,"Vanilla, Green Tea, Fruits, Almond Milk",361,2024-12-24,10% Off
2024-10-26,"Tea, Tortilla",170,2024-11-25,Bundle Deal
2024-10-27,Berries,397,2024-11-03,New Year Sale
2024-10-28,Vegetables,202,2024-11-04,Flash Sale
2024-10-29,Cardamom,495,2024-11-28,Loyalty Discount
2024-10-30,Cheese,409,2024-11-13,Bundle Deal
2024-10-31,"Cinnamon, Flour, Brownie, Berries",348,2024-12-30,Seasonal Offer
2024-11-01,"Spices, Sugar, Milk",307,2024-12-31,Free Shipping
2024-11-02,"Milk, Berries",118,2024-11-09,Flash Sale
2024-11-03,"Vanilla, Ice Cream, Cream",251,2025-01-02,New Year Sale
2024-11-04,"Brownie, Pasta Sauce, Ice Cream, Milk",280,2024-12-04,Bundle Deal
2024-11-05,Coffee Beans,381,2024-12-05,Free Shipping
2024-11-06,"Sugar, Butter",377,2025-01-05,Flash Sale
2024-11-07,Herbal Leaves,383,2024-12-07,50% Off Clearance
2024-11-08,"Berries, Tea, Cream, Spices",388,2025-01-07,Loyalty Discount
2024-11-09,"Green Tea, Pasta Sauce",110,2024-12-09,Free Shipping
2024-11-10,"Tortilla, Orange, Cardamom",256,2024-12-10,50% Off Clearance
2024-11-11,"Lemon, Spices, Pasta Sauce, Brownie",448,2025-01-10,Loyalty Discount
2024-11-12,"Brownie, Tea",479,2024-12-12,Flash Sale
2024-11-13,"Tortilla, Sugar",416,2025-01-12,Loyalty Discount
2024-11-14,"Spices, Mint, Green Tea, Chocolate",497,2025-01-13,Loyalty Discount
2024-11-15,"Cinnamon, Butter, Lemon, Chocolate",409,2025-01-14,Seasonal Offer
2024-11-16,"Eggs, Mint",163,2024-11-30,Buy 1 Get 1
2024-11-17,"Vanilla, Orange",305,2025-01-16,10% Off
2024-11-18,"Ice Cream, Cinnamon",68,2024-12-18,Loyalty Discount
2024-11-19,"Pasta Sauce, Spices, Butter",64,2025-01-18,Flash Sale
2024-11-20,"Tortilla, Tomato Sauce",120,2024-12-20,Bundle Deal
2024-11-21,Eggs,442,2024-12-05,Loyalty Discount
2024-11-22,"Cheese, Brownie, Milk",404,2024-12-06,Buy 1 Get 1
2024-11-23,Flour,454,2025-01-22,Bundle Deal
2024-11-24,"Tomato Sauce, Vanilla, Almond Milk, Flour",146,2025-01-23,Bundle Deal
2024-11-25,"Flour, Herbal Leaves, Berries",492,2025-01-24,Loyalty Discount
2024-11-26,"Milk, Spices",438,2025-01-25,New Year Sale
2024-11-27,"Cream, Tortilla",429,2024-12-12,New Year Sale
2024-11-28,Mint,432,2024-12-05,Bundle Deal
2024-11-29,"Beans, Flour, Tortilla",396,2025-01-28,50% Off Clearance
2024-11-30,"Tomato Sauce, Fruits",95,2024-12-30,Buy 1 Get 1
2024-12-01,"Cheese, Lemon",187,2024-12-15,Bundle Deal
2024-12-02,"Sugar, Tomato Sauce, Butter",188,2025-01-31,Buy 1 Get 1
2024-12-03,Butter,343,2024-12-17,Flash Sale
2024-12-04,"Ice Cream, Pineapple",142,2025-01-03,5% Off
2024-12-05,"Cinnamon, Vanilla, Cheese, Spices",183,2025-02-03,Seasonal Offer
2024-12-06,"Green Tea, Tea, Coffee Beans",66,2025-01-05,10% Off
2024-12-07,"Orange, Beans",208,2025-01-06,10% Off
2024-12-08,"Fruits, Milk, Cinnamon",355,2025-01-07,Loyalty Discount
2024-12-09,"Eggs, Vegetables",128,2024-12-23,Buy 1 Get 1
2024-12-10,"Cheese, Herbal Leaves, Cardamom",430,2025-01-09,Buy 1 Get 1
2024-12-11,"Cinnamon, Eggs, Cardamom",416,2025-01-10,5% Off
2024-12-12,"Cinnamon, Lemon",430,2025-01-11,Buy 1 Get 1
2024-12-13,Vanilla,355,2025-02-11,50% Off Clearance
2024-12-14,"Tortilla, Cardamom",82,2025-01-13,Flash Sale
2024-12-15,"Flour, Coffee Beans, Almond Milk",327,2025-02-13,Loyalty Discount
2024-12-16,"Fruits, Coffee Beans",455,2025-01-15,50% Off Clearance
2024-12-17,"Ice Cream, Fruits, Berries",234,2025-01-16,Flash Sale
2024-12-18,Vanilla,477,2025-02-16,50% Off Clearance
2024-12-19,"Chocolate, Pineapple, Pasta Sauce, Nuts",67,2025-02-17,Loyalty Discount
2024-12-20,"Spices, Pineapple, Beans",54,2025-02-18,5% Off
2024-12-21,"Beans, Tea, Vanilla, Cardamom",195,2025-02-19,Bundle Deal
2024-12-22,"Brownie, Ice Cream, Nuts, Sugar",187,2025-02-20,Flash Sale
2024-12-23,"Spices, Almond Milk, Ice Cream, Cardamom",73,2025-02-21,Bundle Deal
2024-12-24,"Brownie, Butter, Spices, Pineapple",197,2025-02-22,Bundle Deal
2024-12-25,Herbal Leaves,427,2025-01-24,50% Off Clearance
2024-12-26,Tortilla,349,2025-01-10,Seasonal Offer
2024-12-27,Cream,399,2025-01-03,Bundle Deal
2024-12-28,"Nuts, Pineapple, Pasta Sauce",128,2025-02-26,10% Off
2024-12-29,"Coffee Beans, Nuts",134,2025-02-27,10% Off
2024-12-30,Spices,225,2025-02-28,Bundle Deal
2024-01-01,"Mint, Cinnamon, Butter, Cardamom",392,2024-01-31,New Year Sale
2024-01-02,"Vanilla, Ice Cream",491,2024-03-02,Seasonal Offer
2024-01-03,"Vegetables, Cream, Spices, Butter",348,2024-03-03,Free Shipping
2024-01-04,"Almond Milk, Cream",317,2024-01-18,Flash Sale
2024-01-05,Cardamom,433,2024-02-04,Flash Sale
2024-01-06,Lemon,482,2024-01-13,50% Off Clearance
2024-01-07,"Chocolate, Tortilla",218,2024-03-07,Loyalty Discount
2024-01-08,"Sugar, Milk",282,2024-03-08,50% Off Clearance
2024-01-09,"Cardamom, Milk, Vegetables, Beans",358,2024-02-08,Bundle Deal
2024-01-10,Pineapple,94,2024-01-17,5% Off
2024-01-11,Cinnamon,387,2024-02-10,Seasonal Offer
2024-01-12,Green Tea,94,2024-02-11,Loyalty Discount
2024-01-13,"Mint, Beans, Green Tea, Vegetables",141,2024-02-12,10% Off
2024-01-14,Mint,350,2024-01-21,Bundle Deal
2024-01-15,"Butter, Spices, Tomato Sauce",257,2024-03-15,Seasonal Offer
2024-01-16,"Sugar, Flour",378,2024-03-16,Seasonal Offer
2024-01-17,"Vanilla, Pineapple, Berries",473,2024-03-17,Seasonal Offer
2024-01-18,"Tomato Sauce, Flour, Herbal Leaves, Beans",412,2024-03-18,New Year Sale
2024-01-19,"Beans, Pineapple",272,2024-02-18,50% Off Clearance
2024-01-20,"Mint, Berries",359,2024-01-27,5% Off
2024-01-21,Chocolate,417,2024-03-21,Bundle Deal
